TF_IDF_SearchEngine:
Query 1: Romantic comedy
	1. (31148, 'Oyee', 'The movie is based on 2004 South Korean romantic comedy Too Beautiful to Lie.[5]', 0.7448743681365304, 0.5448743681365303)
	4. (4613, 'Big Town Scandal', 'After juvenile boys get caught robbing a sporting goods store, reporter Lorelei Kilbourne pleads for leniency in court and her boss and boyfriend, editor Steve Wilson, ends up reluctantly vouching for the boys. He converts an old newspaper building into a recreation center, where he coaches the boys in basketball.\r\nTommy Malone goes for a joy ride in the car of a gangster, Joe Moreley. A business arrangement is struck, where Moreley will stash stolen goods at the rec center while betting on the team\'s basketball games, which Tommy will deliberately lose.\r\nThe other boys try to return some stolen furs, but one of them, Pinky Jones, ends up shot. Tommy tries to end his deal with Moreley, only to be threatened by Cato, the gangster\'s gunman. Tommy double-crosses the crooks, winning the next game. Cato shoots him. Tommy\'s friend and teammate "Dum Dum" pursues Moreley in the bleachers, where Moreley falls off. Tommy recovers in the hospital, while Steve and Lorelei end up getting custody of three more delinquent boys.', 0.26376964415657017, 0.19710297748990352)
	5. (21744, 'God Bless the Child', 'Theresa Johnson is a single mother, who was abandoned by her unemployed husband some time after her daughter, Hillary, was born. The two live in a cramped apartment in the inner-city, within walking distance to Hillary\'s school and Theresa\'s workplace. The occupants of the apartment complex Theresa and her daughter live in are all notified of their eviction due to the city tearing down the apartments. Theresa has nowhere to go. Theresa clocks out of work early to look for a place for her and her daughter to live, but is fired the next day for leaving early. The two go from homeless shelter to homeless shelter, trying to find a place to stay. Often they sleep on the streets. At one shelter Theresa meets outreach worker Calvin Reed, who finds another place for Theresa to stay, while she receives welfare aid. The house is filthy and infested with rats. Theresa and Hillary settle into their new home, and the life of their neighboring family, the Watkins, is explored.\r\nThe Watkins are a poor African-American family who live in a house not much different from Theresa and Hillary. The father of the family, Raymond Watkins, abandoned the house long ago "because I am worth more to them gone than there" and doesn\'t pay child-support. He is deeply hurt by this failure. The family receives welfare but can\'t afford anything other than necessities, and goes hungry during the "fourth week," or the end of the month when most families have run out of food stamps. The son, Richard Watkins, hopes to break the cycle of poverty that has plagued their family, by being the first person in their family to graduate from high school.\r\nTheresa has just been evicted from her house by her confrontational landlord, after reporting the state of her house and the rat infestation to the Department of Health. Theresa and Hillary stay in the shelters once again, then Hillary contracts lead-poisoning from the poor state of the shelters and lack of sanitation. At the local hospital, Theresa is told by Hillary\'s doctor that if she contracts lead-poisoning again, it can cause severe health and development problems. Since Theresa and Hillary have been forced to travel between shelters the cause of Hillary\'s lead-poisoning can\'t be traced. Because of a lack of a steady home, Theresa cannot guarantee Hillary\'s safety.\r\nTheresa consults Mr. Reed and concludes that the only way Hillary can live a healthy, normal life, free from poverty, is by giving her up. The only way this can happen immediately is if Hillary is abandoned. Theresa makes the decision to take Hillary to the park and leaves her for Mr. Reed to pick up. Before leaving her, she gives her a heart necklace and tells her that every time she looks at it she should remember that she loves her. When she leaves, Mr. Reed and another social worker take Hillary away, and the story ends with Theresa alone in the park, crying, as Hillary can still be heard crying for her mother.\r\nBefore the credits start, the statement "32 million people live in poverty in the United States, today. 13 million of them are children." is shown.', 0.2475899357363202, 0.22536771351409798)
	6. (10301, 'Top Secret!', 'Nick Rivers, an American rock star ("Skeet Surfin\'"), travels to East Germany (which is represented as like Hitler\'s regime) to perform at a cultural festival, which secretly serves the East German government as a diversion for an illegal military operation with the intent of reuniting Germany under their rule. At a dinner, Nick encounters Hillary Flammond, a member of the local resistance movement, attempting to avoid the authorities. He pretends to be her date to get to know her, and performs an impromptu song and dance ("Tutti Frutti"), mistakenly thinking he was asked to do so, to the delight of Hillary and the diners but to the annoyance of General Streck, the mastermind of the "reunification" plot.\r\nNick later sees Hillary at a ballet, where she expects to rendezvous with the resistance leader but she is met by the police instead. Nick saves her and they try to escape, but Nick turns himself in so that Hillary can get away. He is taken to a prison where he is questioned and tortured, but he knows nothing and does not break. In an escape attempt, he ends up in the secret prison lab of Dr. Paul Flammond, a brilliant scientist developing the "Polaris naval mine", a device that can destroy the entire NATO submarine fleet as part of the government\'s plot. The Germans force him to work by threatening to kill his daughter Hillary. Nick is recaptured and scheduled for execution.\r\nThe East Germans decide that Nick must perform to avoid an international incident, and he does so to the rapturous joy of the local girls ("How Silly Can You Get"/"Spend This Night with Me"). He is rescued by Hillary at the end of his performance, after which they spend the night in the loft of a Swedish bookstore. Nick plays for her ("Are You Lonesome Tonight?") and they make love. The next morning, they are moved to the "Potato Farm" where they meet members of the French Resistance, led by Nigel "The Torch", who was a lover of Hillary from when they were stranded on an island as youths. Nick is upset by Hillary\'s residual love for Nigel, but accepts that they must work together for the cause. After fighting off an attack by the Germans, who were tipped off by a mystery traitor, they move to a pizza restaurant, where Nick proves he\'s not the traitor by performing for the locals ("Straighten Out the Rug").\r\nThe resistance group stages a rescue of Dr. Flammond, where Nigel and Du Quois, a resistance leader, dress up in a fake cow outfit to disable the prison\'s defenses. While the other members successfully infiltrate the prison, Nigel reveals himself as the traitor. Dr. Flammond is rescued, but Nigel makes off with Hillary, and Nick is forced to rescue her in an underwater bar room fight. With their flight about to leave, Hillary chooses to go with Nick and her father to America.', 0.2413500277709697, 0.21912780554874747)
	7. (14845, 'The Break-Up', 'Gary Grobowski (Vince Vaughn) and Brooke Meyers (Jennifer Aniston) meet at Wrigley Field during a Chicago Cubs game and begin dating, eventually buying a condominium together. Gary works as a tour guide in a family business with his brothers, Lupus (Cole Hauser) and Dennis (Vincent D\'Onofrio). Brooke manages an art gallery owned by eccentric artist Marilyn Dean (Judy Davis).\r\nTheir relationship comes to a head after the latest in an escalating series of "Why can\'t you do this one little thing for me?!" arguments. Brooke, feeling unappreciated, criticizes Gary\'s perceived immaturity and unwillingness to work on improving their relationship. Gary is frustrated by Brooke\'s perceived controlling, perfectionistic attitude, and expresses his desire to have a little more independence (particularly when arriving home from work, wanting to unwind).\r\nBrooke becomes irate when Gary fails to offer to help her clean up after a big dinner party at their home; and, still frustrated from their earlier, unresolved argument, breaks up with him (despite still being in love with him). Brooke seeks relationship advice from her sister Addie (Joey Lauren Adams), while Gary goes to tell his side of things to friend Johnny Ostrofski (Jon Favreau).\r\nSince neither is willing to move out of their condo, they compromise by living as roommates; but, each begins acting out to provoke the other in increasingly elaborate ways. Gary buys a pool table, litters the condo with food and trash, and even has a strip poker party with Lupus and a few women. Meanwhile, Brooke has Gary kicked off their "couples-only" bowling team, and starts dating other men in an attempt to make Gary jealous.\r\nWhen their friend and realtor Mark Riggleman (Jason Bateman) sells the condo, Gary and Brooke are given two weeks\' notice to move out. Brooke invites Gary to an Old 97\'s concert, hoping that he will figure out that the gesture is meant to be her last-ditch attempt to salvage their relationship. Gary agrees to meet her there, but misses the hidden agenda, and misses the concert—unwittingly breaking Brooke\'s heart. When Gary goes out for a drink with Johnny, his friend points out that Gary has always had his guard up, has been guilty of a lot of selfishness, and never gave Brooke a chance, emotional intimacy-wise.\r\nAfterwards, Brooke quits her job in order to spend time traveling Europe. When she brings a customer from the art gallery home one evening, Brooke finds the condo cleaned and Gary preparing a fancy dinner to win her back. He lays his heart on the line and promises to appreciate her more. Brooke begins crying and states that she just can not give in anymore and, therefore, does not feel the same way. Gary seems to understand and kisses her before leaving. It is later revealed that Brooke\'s "date" (who initially asked her out, but she politely rejected) was actually a client interested in a piece of artwork she kept at the condo.\r\nBoth eventually move out of the condo. Gary begins taking a more active role in his tour guide business, while Brooke travels the world, eventually returning to Chicago. Some time later, they meet again by chance on the street as Gary is bringing home groceries and Brooke is on her way to a meeting. After some awkward but friendly catching up, they part ways but each glances back over their shoulder and they share a smile. This exchange leads some viewers to believe that the two eventually get back together down the road.', 0.23317068498676702, 0.2109484627645448)
	8. (9619, 'The Main Event', 'Hillary Kramer (Streisand), a successful perfume magnate awakes one morning to find that her accountant has robbed her blind and left for South America. Going through all of her remaining assets she finds a boxer, purchased as a tax write off. She decides to take Eddie "Kid Natural" Scanlon (Ryan O\'Neal) who is much more at home giving driving lessons, into the ring and use him as her key to riches. Eddie thinks this will only get him killed and resists.\r\nEventually, Hillary wears Eddie down and she gets funding (mainly from friends, associates, and colleagues) for his first fights, all of which go awry, either through Hillary\'s lack of knowledge about boxing or Eddie\'s out-of-shape condition (and general fear of being hit). All the while, Hillary and Eddie continue sparring on their own, thanks to their different personalities. But, as time (and fights) go on, they develop an increasingly personal relationship, which ultimately leads them to have to decide what they really want.', 0.22159773221016396, 0.19937550998794173)
	9. (17065, "God's Not Dead 2", 'AP History teacher Grace Wesley (Melissa Joan Hart), a devout evangelical Christian, notices that one of her students, Brooke Thawley (Hayley Orrantia), is withdrawn following the recent accidental death of her brother. Involved in little more than her studies, Brooke notices Grace\'s hope-filled attitude, and asks where Grace finds her optimism. Grace replies "Jesus", and Brooke begins to read the Bible for herself. As Grace lectures on Mahatma Gandhi and Martin Luther King, Jr., Brooke asks whether their peaceful teachings relate to the biblical account of the Sermon on the Mount. Grace responds in the affirmative, and relates parts of scripture to his teachings. One student immediately texts his parents about the class, and the ensuing backlash draws the ire of Principal Kinney (Robin Givens). She reprimands Grace, saying that the teacher\'s faith clouded her judgment. Grace is subsequently brought before the School Board, who inform her that legal action will be taken against her as she has violated the separation of church and state. Grace\'s case draws the attention of Tom Endler (Jesse Metcalfe), a young defense attorney who is willing to aid her despite being an unbeliever himself.\r\nAfter speaking to his friend Josh, Martin Yip, a college student, visits Pastor David Hill (David A. R. White) to ask him several questions about God. Former left-wing blogger Amy Ryan goes to the hospital to check in on her cancer, only to find that it has miraculously vanished. She talks to Michael Tait of the Newsboys, who encourages her, stating that with faith, prayers can be answered. Amy ponders this, and later makes her blog a diary about her adventures with God.\r\nThe School Board brings Grace\'s case before a judge in Little Rock, Arkansas, hoping to secure her termination and strip her of her teaching license unless she issues an apology, which Grace refuses to do. To Brooke\'s horror, prosecutor Pete Kane (Ray Wise) declares that the lawsuit will "prove once and for all that God is dead". His opening argument suggests that the society of the United States will crumble should Grace fail to be found guilty. Endler responds by stating that Grace was simply doing her job, and that the law separating church and state was written by Thomas Jefferson in an effort to protect the church, not persecute it. Kane builds a strong case against Grace by bringing forward witnesses such as Kinney and Brooke\'s parents, prompting Endler to rethink their defense. Meanwhile Brooke stands in solidarity with her friends against Kinney. The defense is dealt another blow when their key juror, David, becomes ill. Christian apologist J. Warner Wallace is called as an expert witness, arguing that it is illogical to think that the gospel was a conspiracy because despite facing persecution and death, none of the Apostles ever retracted the accounts of seeing the risen Jesus. Kane is floored to learn that Wallace was formerly an atheist who was converted to Christianity.\r\nAmy encourages Brooke to follow her heart, despite what others are making her do. Martin is surprised to find his father in his college dorm. Mr. Yip angrily rebukes Martin for following God despite the family\'s sacrifices. Martin refuses to deny God, and Mr. Yip disowns him, then leaves. A heartbroken Martin goes to the church, where he finds Brooke. They talk about God, and Martin eventually brings Brooke to God. Later, Brooke sets up a protest to support Grace.\r\nBrooke is allowed as a witness. Kane is able to trick her into admitting that it was Grace and not Brooke who initiated their first conversation about Jesus. As Grace becomes more and more discouraged, Brooke and her friends sing her a song in an attempt to build up her spirits. Martin visits David in the hospital with his friend Paul, and announces that he feels his call is as a pastor in China. Using a tactic to position Grace as a hostile witness, Endler gets the judge to inform the jury not to let their bias or prejudices interfere with their verdict. The jury ultimately finds in favor of Grace, who rejoices along with Brooke and Endler as Kane stands humiliated.\r\nIn a post-credits scene, a fully recovered David, hungry after having ice chips for 2 days, returns to church with Paul who offers, "I\'m hungry as well, David. How \'bout I take you for a nice, tuna melt?" Suddenly, David is then arrested for refusing to turn in his sermons to the government, (shown earlier in the film). Paul and Martin watch as David is taken away. Then, Martin wonders what to do next, and Paul replies "Same as always, Martin. We pray in faith." as David is driven off to jail, setting up the events for the sequel: God\'s Not Dead: A Light in Darkness.', 0.2159895405701792, 0.17154509612573474)
	10. (9112, 'At Long Last Love', "Four socialites unexpectedly clash: heiress Brooke Carter runs into the Italian gambler Johnny Spanish at the race track while playboy Michael O. Pritchard nearly runs into stage star Kitty O'Kelly with his car. Backstage at Kitty's show, it turns out she and Brooke are old friends who attended public school together. The foursome do the town, accompanied by Brooke's companion Elizabeth, who throws herself at Michael's butler and chauffeur Rodney James.\r\nThe four friends change partners at a party, where Brooke and Michael step outside behind Kitty and Johnny. In an effort to make the others jealous, Kitty, Johnny, Brooke, Michael, Elizabeth and Rodney begin their romance.", 0.21281500948792145, 0.19059278726569923)

Query 23: Sivan (Vinu Mohan) is a medical college student better known
	1. (27826, 'Sultan', "Sivan (Vinu Mohan) is a medical college student better known in the campus as 'Sultan' as he was considered by all as the 'Sultan of Romance'. He and his four childhood close friends Naufal(Anoop Chandran),Sunny (Praveenkrishna),Vivek (Sreejithravi) forms a gang in the campus and they become quite popular among the students.\r\nSivan is in love with Nishitha (Varada), who is also a student in the same college. Their love has been accepted by their families and they have been engaged to marry after the completion of their studies. Things take a turn when Sivan's pet-name Sultan puts him in some totally unexpected situations.", 0.7738357787542469, 0.573835778754247)
	2. (30983, 'Jilla', "Sakthi (Vijay) is the adopted son of a Madurai-based don Sivan (Mohanlal) and is also his right-hand man, bodyguard and driver. He hates the police due to a police officer killing his father, who was Sivan's driver, in his childhood. His hatred is such that he hates the khaki colour (which is worn by policemen in India), constantly teases his friend Gopal (Soori), who is a sub-inspector, and even loses romantic interest on a woman named Shanthi (Kajal Aggarwal) after he finds out that she is a police inspector. However, when Sivan is insulted by the new Police Commissioner of Madurai (Pradeep Rawat), he forces Sakthi to become an IPS officer to save his crime syndicate and prove the Commissioner's words wrong (A policeman can think like a criminal, but a criminal can never think like a policeman). Reluctantly taking charge as Assistant Commissioner of Police of Madurai city, Sakthi gives free rein to Sivan and his henchmen, who wreak havoc over Madurai, until one of their activities inadvertently causes a gas leak which destroys a school and some nearby buildings, killing several people, including women and children. This incident, along with the assault of a woman (Meenal), whose husband was killed in the gas leak, by Sivan's henchmen when she had come to the police station to lodge a complaint against Sivan, causes Sakthi to take up the path of an honest and upright police officer. Sakthi's new persona is not liked by Sivan and after a heated argument between the two, he disowns Sakthi. A cat-and-mouse game then begins between Sivan and Sakthi, with Sivan, his henchmen and his family determined to humiliate Sakthi at every opportunity, while Sakthi, assisted by Shanthi and Gopal, tries to rid Madurai of Sivan's influence. Sakthi is soon promoted to Deputy Commissioner of Police for his efforts.\r\nLater, Sakthi finds out that Sivan's other adopted son, a minister Aadhi Kesavan (Sampath Raj) is plotting to kill Sivan in revenge for Sivan killing his police officer father (the same police officer who killed Sakthi's father) in his childhood. Since Sakthi had inadvertently thwarted his earlier plans to kill Sivan, he also plans to get Sakthi killed at the hands of Sivan by killing Sivan's son Vignesh (Mahat Raghavendra) and putting the blame on Sakthi for Vignesh's death. Unfortunately for Aadhi, Sivan sees through his plan and reconciles with Sakthi, both of whom team up to kill Aadhi.\r\nIn the end, Sakthi reluctantly arrests a reformed Sivan for his misdeeds, on Sivan's request.", 0.425847861112787, 0.400847861112787)
	3. (28239, '7th Day', "The story starts with a monologue by David Abraham, IPS (Prithviraj) during the night of Christmas. When he leaves a party, he gets involved in an accident with Shan(Vinay Forrt) and Vinu(Anu Mohan). David takes them to the hospital to treat Vinu's injury which he sustained while falling off the bike. From the hospital Vinu escapes, to Shan's horror. David starts to suspect that there is something wrong. But Shan says there is no problem and David drops him at his place. Then he notices that Vinu has dropped his wallet in his jeep.\r\nShan recounts the story of his friends - Aby(Tovino Thomas), Jessica aka Jessy (Janani Iyer), Cycle(Praveen Prem) and Vinu. Vinu runs an internet cafe. Cycle is the son of a gulf-returnee with a lot of financial problems. Shan is a local correspondent for a newspaper. Aby and Jessica grew up together in an orphanage, and Vinu has a special interest for Jessica and Jessica to him. One day, Vinu's internet cafe is raided by the police looking for some stuff. Since they couldn't find anything, the police returns without saying anything to Vinu. That night, Vinu's house is raided by a goon named Charlie(Yog Japee), who is commissioned by Christopher Moriarty, a crime boss to locate a missing sum of Rs. 1.75 crores. They suspect that Vinu took the money from them and gives 36 hours to surrender the money to him.\r\nLater David receives a call from a local travel agent that someone has given him a fake note of thousand rupees to book a bus ticket to Bangalore. David catches him from the bus and it turns out it is Cycle who was trying to get out of the town. Using Cycle, David locates his other friends - Vinu and Jessica. Aby is nowhere to be seen. David asks Vinu to recount the happenings of the night of his suicide. Though at first he tells them a lie, under pressure Vinu tells David that Aby had planned everything and stole the cash so he could kill Vinu because of his secret love for Jessica, but Jessica and Cycle were hearing all this. Jessica said she could not forgive him for trying to kill Vinu. With guilt Aby tells them that the money is in the vehicle and commits suicide by jumping of the waterfall. Coincidentally Aby's blood group was the same as Vinu's and they both had the same tattoo, so they decide to use Aby's suicide to fake Vinu's death.\r\nAfter their confession David reveals that Aby was a carrier for Christopher and the money in the bag was grade one counterfeit cash. David gave them the option of either leaving the money on the table so that he can report it as an abandoned bag of counterfeit money and that no one would ever disturb them about it or arrest them and take them to the court for planned murder. They chose the first option and handed the money over to David and left. When they left, however, Shan stops the car and questions the true identity of David Abraham, and the simple option given to them. They have a light-bulb realization that David Abraham IPS doesn't exist and that he is actually Christopher Moriarty.", 0.3903962826878174, 0.3403962826878174)
	4. (27824, 'Thavalam', 'The movie is based on a real-life story of one Muthu who lived around the Ernakulam bus stand. Sivan (Suresh Gopi) is a member of the gypsy group who roams around the cities to make a living. Sivan lives with his only daughter Meenakshi (Baby Diya) in a village named Mayilpetty. Dasan Menon and his wife Usha are regular visitors to the temple of the village. According to the local sayings, they also believe that if they come over to this temple three times in a month, they will be blessed with a child.\r\nIn one of the visits, some of their money gets stolen and the blame falls on Meenakshi kutty who passes around the temple. Both Sivan and his daughter are arrested for the robbery, but in little time local teashop owner, Panikkar, arrives at the station with the actual culprit. Sivan and his little daughter are set free, but the family finds an excessive interest in the father and his daughter and starts asking them about their life.', 0.3609776803217266, 0.3359776803217266)
	5. (27878, 'Duplicate 2009', "Shivan Kutty (Suraj Venjaramoodu) is a jobless village lad, who finds it difficult to pay back his increasing debts. He is in love with his cousin Meenakshi (Roopashree), though his uncle Keshu (Lalu Alex) doesn't quite approve her relation with a good for nothing guy. Added to his routine of mayhem is a couple of professional killers, who runs after him due to a misunderstanding. But life turns to colourful patches when Sivan Kutty gets mistaken as Jeevan, a look alike wealthy businessman, following a car accident. Sivan Kutty is taken into the wealthy house of Jeevan where he lives in luxury. Meanwhile, Jeevan is mistaken as Sivan Kutty and is taken into Sivan Kutty's house. The rest of the plot revolves around Sivan Kutty helping the police ACP (Riaz Khan) to bring under law the killers who are after Jeevan. In the end Sivan Kutty reunites with his love Meenakshi.", 0.34551158024894874, 0.3205115802489487)
	6. (27169, 'Ajantha 2009', "In this film, Vinu Mohan / Ramana plays an upcoming musician. After finishing a recording, he is on his way home when he sees an artist creating art on the street and he is stricken with awe. Onlookers are giving the artist a few rupees each but not as much as the artist expected. At this point, it begins to rain and the drawing begins to dissolve as the onlookers disperse. Vinu Mohan / Ramana hands over his entire 'bata' for the day to the artist.", 0.3069879184368815, 0.2569879184368815)
	7. (28094, 'Ajantha (അജന്ത)', "In this film, Vinu Mohan / Ramana plays an upcoming musician. After finishing a recording, he is on his way home when he sees an artist creating art on the street and he is stricken with awe. Onlookers are giving the artist a few rupees each but not as much as the artist expected. At this point, it begins to rain and the drawing begins to dissolve as the onlookers disperse. Vinu Mohan / Ramana hands over his entire 'bata' for the day to the artist.", 0.3069879184368815, 0.2569879184368815)
	8. (30918, 'Ajantha 2012', "In this film, Vinu Mohan / Ramana plays an upcoming musician. After finishing a recording, he is on his way home when he sees an artist creating art on the street and he is stricken with awe. Onlookers are giving the artist a few rupees each but not as much as the artist expected. At this point, it begins to rain and the drawing begins to dissolve as the onlookers disperse. Vinu Mohan / Ramana hands over his entire 'bata' for the day to the artist.", 0.3069879184368815, 0.2569879184368815)
	9. (27379, 'Ennum Nanmakal', "Radha Devi (Santhi Krishna) is an office assistant working in the city of Kozhikode. She is in love with the unemployed Sivan (Jayaram). Radha Devi moves to Satyavathiyamma's (KPAC Lalitha) home as a paying guest along with two friends, Indu (Saranya) and Rama (Sari). Indu is the head of the housekeeping staff in a hotel; Rama is an associate editor of a magazine and is a feminist. They meet the irascible Dr. Anirudhan (Sreenivasan), a widower with a baby girl.\r\nMany comical scenes follow with characters including the local postman Ulpalakshan (Jagadeesh), a local politician Thotta MLA (Innocent) and compounder Khader (Mamukkoya). Meanwhile, Sivan suffers due to unemployment and financial difficulties. His self-esteem is questioned by his sister-in-law Devaki (Kanakalatha) and Radha's uncle (Sankaradi).\r\nThe plot thickens, with Sivan forced to break up with Radha as she becomes close to Dr. Anirudhan and his daughter. Radha Devi and Anirudhan decide to marry. Anirudhan, realizing the relationship between Radha and Sivan and the reasons behind their break-up, backs out. Sivan and Radha marry.", 0.29390029150541885, 0.26890029150541883)
	10. (29282, 'Suryagandhi', "Mohan (Muthuraman) is the eldest son in a middle-class family, having superiority complex that he should be the first in every thing. He and Radha (Jayalalitha) fall in love and they get married. Mohan works in a low wage job despite being a graduate which is insufficient for the family. So, Radha decides to join as sales officer and starts working in a company. Her hard work earns her good name and promotion in job. So, her respect in family rises as it improves the economic status of the family and she is able to fulfill the needs and wants of the family. Mohan is intolerable seeing Radha's respect growing, and he starts hating her.\r\nMohan's ego wants him to earn more than Radha and in the process he quits his job with the hope of finding a better one. Meantime, he also does modelling for liquor ads much against his family's wishes. Radha, with the help of her boss, recommends a high paying job for Mohan. But she does not inform this to Mohan as he might not take up the job if he knows that Radha was responsible for it. Mohan quits modelling after he gets the new job and mocks at Radha as he is paid more than her now. Mohan wants Radha to quit her job but Radha does not agree for that.\r\nMohan's sister Suseela falls in love with a guy and becomes pregnant. Radha finds out this and arranges for the wedding as soon as possible so that her pre marital pregnancy is not known to others. Mohan misunderstands that Radha is overpowering him in family decisions and sends Radha out from his home and plans for a divorce. On the day of Suseela's marriage, the groom's father (MRR Vasu) informs the truth to Mohan which makes him realise his mistakes. Mohan understands that Radha preferred going to job so that she can pay the dowry demanded by Suseela's in-laws. Mohan also finds out that his job was recommended with the help of Radha. Mohan transforms to a good man and decides to lead a happy life with Radha. The movie ends on a positive note.", 0.29182412692248694, 0.2168241269224869)

Query 24: In the prologue, a young Max Skinner, whose parents have
	1. (14932, 'A Good Year', 'In the prologue, a young Max Skinner, whose parents have died in an accident, spends his childhood summer holidays learning to appreciate the finer things in life at his Uncle Henry\'s vineyard estate in Provence in south-eastern France. Some 25 years later, Max is an unethical yet very successful hard-working London-based bond trader with a sense of humour.\r\nFollowing his uncle\'s death, Max is the sole beneficiary of the French property. He travels to Provence to prepare a quick sale. Shortly after arriving, while fumbling with a cell phone, he unknowingly causes a local café owner, Fanny Chenal, to crash her bicycle. Subsequently, he discovers that his latest City financial stunt has caused real trouble for the owners of the trading company he works for, and the CEO orders him to return to London as soon as possible.\r\nTo assist in his planned sale of the property, Max hurriedly snaps some photos and in the process falls into an empty swimming pool. He is unable to escape until Fanny Chenal, driving by and spotting his rental car, appears and turns on the water supply in retaliation. This delay causes Max to miss his flight and, having failed to report to the directors in person, he is suspended from work and trading activities for one week.\r\nOn Henry\'s estate, Max must deal with a gruff, dedicated winemaker, Francis Duflot, who fears being separated from his precious vines. Duflot pays a vineyard inspector to tell Max that the soil is bad and the vines worthless.\r\nIn the meantime, they are surprised by the unexpected arrival of young Napa Valley oenophile Christie Roberts, who is backpacking through Europe and claims to be Henry\'s previously unknown illegitimate daughter. Max realizes, but does not tell her how French law decrees, even though Christie is not his Uncle\'s legitimate daughter, she still becomes the rightful heir to the Chateau and vineyards. As Max did earlier, Christie finds the house wine unpalatable but is impressed by Max\'s casual offering of the boutique Le Coin Perdu ("the lost corner") vintage, noting some intriguing characteristics. During dinner at the Duflot house, while slightly inebriated, Max exposes his concern that she might lay claim to the estate and brusquely interrogates her.\r\nMax gets updates on office politics from his assistant Gemma, who warns him of the ambitious antics of other employees. To ensure he is not usurped by Kenny, his second-in-command in London, through whom Max continues to direct trades, Max intentionally gives the ambitious young trader bad advice, getting Kenny fired.\r\nMax becomes enamoured with the beautiful, feisty café owner Fanny, who is rumoured to have sworn off men. He successfully woos Fanny into his bed, where she leaves him the next morning, expecting him to return to his life in London.\r\nA disillusioned Christie also decides to move on. Max finds his uncle\'s memoirs, which contain proof of Christie\'s heritage. However, he bids her farewell while handing her an unexplained note inside a book she was reading. While informing Duflot of the pending estate sale, Max learns that the mysterious expensive Le Coin Perdu was made by Henry and Duflot with "illegal vines" from the estate, bypassing wine classification and appellation laws.\r\nThe estate is sold and Max returns to London where Sir Nigel, the company chairman, offers him a choice: "Money or your life" - either a discharge settlement, which includes "a lot of zeros," or the partnership in the trading firm, where he would then be "made for life". Max asks about Nigel\'s art in the conference room, which Fanny has a copy of in her restaurant. Upon Nigel\'s dismissive comment that the real one is kept in a vault and the $200,000 copy in the office is for show, Max reconsiders if he wants to still be like Nigel.\r\nMax invalidates the estate\'s sale with the farewell letter he gave to Christie, which he forged, along with real photos confirming Christie as Henry\'s daughter with a valid claim to the entire estate. (as a child Max signed cheques for his uncle, and is able to replicate his handwriting and signature).\r\nHe puts his London residence up for sale and returns to Provence, entering into a relationship with Fanny. Christie also returns and she and Francis jointly run the vineyard while trying to reconcile their vastly different philosophies of wine production. Meanwhile, Max is now able to focus his entire attention on Fanny.', 0.5177100787633719, 0.31771007876337193)
	2. (8506, 'Viva Max!', 'Riding a white horse, Brigadier General Maximilian Rodrigues de Santos of the army of Mexico arrives at a United States border crossing with a small company of soldiers on foot. He claims to be leading his men to Laredo, Texas to march in a parade on George Washington\'s birthday.\r\nThe soldiers\' destination is actually San Antonio, where the general intends to carry out a quixotic mission to "re-occupy" the Alamo. None of his men are aware of his plans, but without argument they do whatever they are told by Max\'s devoted Sergeant Valdez.\r\nDisguising himself in an ill-fitting suit as a tourist, Max goes on ahead and takes a guided tour of the Alamo. In the gift shop, he encounters an attractive young blonde, Paula, who, when she isn\'t selling postcards, is a radical student activist.\r\nHe returns to his men and, after racing through the streets of San Antonio, they seize control of the fort, taking Paula and two other Americans as their prisoners. Max places a call to the local authorities, telling police chief Sylvester that the flag of Mexico now flies above this piece of hallowed Texas ground.\r\nSylvester doesn\'t take him seriously at first, but quickly discovers that Max is an actual Army general and that everything else he has claimed is true. The chief goes to the Alamo to meet Max in person, using the passwords "John Wayne" and "Richard Widmark" to gain entry. Max instructs him to contact the Pentagon and report the fort to be back under Mexico\'s control.\r\nAs Max will only negotiate with another general, Sylvester calls on Billy Joe Hallson, a brigadier general of the state\'s National Guard, whose day job is running a mattress store. Max is unimpressed. A low-level bureaucrat from Washington condescendingly promises that if Max leaves quietly the United States will not take this "invasion" too seriously and mocks Mexico as "not exactly the Soviet Union." To which Max announces he will hold the Alamo for thirteen days in response to the snub.\r\nPaula sees Max as a heroic revolutionary but he tells her his only reason for the invasion was to impress his girlfriend back home who told him that his men wouldn\'t follow him into a brothel.\r\nA three-star U.S. Army general named Lacomber arrives to take charge. A company of his men scale the wall and enter the fort, but without ammunition, so as to avoid bloodshed and an international incident. It turns out Max\'s men are not carrying ammo, either, but the Americans fall for Max\'s bluff to open fire and promptly surrender. Max celebrates by doing a Mexican hat dance.\r\nPaula brings the general back to earth by explaining that she has learned his soldiers follow him only because Valdez shoots any who do not obey orders. Disheartened, Max decides to wave the white flag of surrender and go peacefully. A private anti-communist militia, who think Max is a front for the Chinese, arrives just as Max is surrendering to Lacomber. Their leader, whose aunt is one of the hostages, shoots Max in the shoulder. Max bravely orders his unarmed men to attack the armed militia. His men, for the first time, willingly follow his orders and the militia flee as their leader is arrested.\r\nMax then tells the U.S. authorities that he intends to "advance"—to Mexico. Satisfied at that, Sylvester, Lacomber and Hallson let the Mexican general get back on his horse. He rides out of town triumphantly with his men chanting proudly: "Viva Max!"', 0.3953844922139923, 0.2953844922139923)
